"vf","ematerial","fmaterial","c44","e15","q15","μ11","ϵ11","α11","ρ"
0.05,1,2,1.136833152843647e10,0.7665635224590653,260.31802136886245,6.39902989920039e-6,0.21115419943359706,-6.4595596265571115e-9,9053.5
0.1,1,2,1.167153216841914e10,1.263786072383404,229.3722165039483,5.826359389598038e-6,0.17058125186619974,-1.0160238379764103e-8,8877.
0.15000000000000002,1,2,1.2735172517056004e10,1.7661280993324309,217.5457972343268,5.715205326512781e-6,0.14860568683526895,-1.3443199230582593e-8,8700.5
0.2,1,2,1.4162295167741215e10,2.3006230288626885,211.5317926456463,5.759389717805506e-6,0.13264068288428701,-1.6496107497391165e-8,8524.
0.25,1,2,1.589841703957716e10,2.884549646438307,208.18766003200523,5.891067821846045e-6,0.11964376275479484,-1.938350045034294e-8,8347.5
0.3,1,2,1.7963761489322014e10,3.534982390377874,206.35801872670453,6.089870357181879e-6,0.10846802014021777,-2.2137283933846998e-8,8171.
0.35,1,2,2.0415231923343906e10,4.272244640507699,205.52251001310083,6.352054712740621e-6,0.09857267518636388,-2.4778828129815718e-8,7994.5
0.39999999999999997,1,2,2.334285288377095e10,5.122697685034396,205.425402263608,6.682833756438366e-6,0.08966343652036801,-2.7326873819849813e-8,7818.000000000001
0.44999999999999996,1,2,2.687839877746224e10,6.122313267181195,205.946133836155,7.094816556239283e-6,0.08156294012631844,-2.9801411634912917e-8,7641.5
0.49999999999999994,1,2,3.121462617195991e10,7.322217363350697,207.0500470239072,7.609227318676798e-6,0.07415639587966408,-3.222661627537221e-8,7465.
0.5499999999999999,1,2,3.6640693283210464e10,8.79812185623776,208.77459328125616,8.259659691243196e-6,0.06736689430648227,-3.4634404422180703e-8,7288.5
0.6,1,2,4.3608161911850426e10,10.66753617972195,211.23987384595614,9.09978377867355e-6,0.061144635701307695,-3.707027661393658e-8,7112.
0.65,1,2,5.286154755615467e10,13.123613643376423,214.68955144800375,0.000010218984029044564,0.05546480035479334,-3.960453223801214e-8,6935.5
0.7000000000000001,1,2,6.572017556583742e10,16.508105682488193,219.59161455756646,0.000011776365233910023,0.05033453748210672,-4.235635807824655e-8,6759.
0.7500000000000001,1,2,8.47640235127875e10,21.4888021739851,226.89212040680957,0.000014083667340570484,0.04581769752270332,-4.555242758290783e-8,6582.5
0.8000000000000002,1,2,1.1581034857553888e11,29.570861930072176,238.75315203507566,0.00001784436016470683,0.042111943122424784,-4.9695827435939924e-8,6406.
0.8500000000000002,1,2,1.7530980460648108e11,45.01004312538366,261.32074137840306,0.000025048415066242357,0.03984299546014068,-5.61982162819434e-8,6229.499999999999
0.9000000000000002,1,2,3.350854738775598e11,86.3856504761207,321.4858836130094,0.000044385119832183757,0.041860311632864654,-7.120381895834036e-8,6053.
0.9500000000000003,1,2,2.1949209948082078e12,567.4993825748854,1021.2941004681581,0.00026945958869657103,0.11480912266322191,-2.3144850383261226e-7,5876.499999999999
0.05,1,3,4.360082459806952e10,0.02375548934471415,0.0005282726165970762,0.0010836591752255908,1.550377128225018e-10,8.600324286729139e-10,5225.
0.1,1,3,4.421473418636395e10,0.04101014855128578,0.0008489187946492053,0.0009832812668600622,1.7159371403023793e-10,7.803576013878784e-10,5250.
0.15000000000000002,1,3,4.483583993008069e10,0.05908031321890715,0.001135949165058923,0.0008952286478900876,1.8886472459989055e-10,7.104648658637646e-10,5275.
0.2,1,3,4.546381190643753e10,0.07899030673781715,0.001403491525483634,0.000814246248827324,2.0771984823725054e-10,6.461830073941754e-10,5300.
0.25,1,3,4.609833674261812e10,0.10143872417009567,0.0016560799927520281,0.0007385997619050045,2.2875154705338268e-10,5.861352941252848e-10,5325.
0.3,1,3,4.6738954764117966e10,0.12712921542551575,0.0018955964599480226,0.0006675130706707464,2.525561251721176e-10,5.297054932936893e-10,5350.
0.35,1,3,4.738499372627711e10,0.15689048023569901,0.002122922902557627,0.000600552813609285,2.798354549747101e-10,4.765493682304664e-10,5375.
0.39999999999999997,1,3,4.80354887503918e10,0.1917715755804107,0.0023384711781210474,0.0005374229195257824,3.114776897116777e-10,4.264315717261798e-10,5400.
0.44999999999999996,1,3,4.868906055362162e10,0.2331588009586661,0.002542356165305831,0.0004778849954822725,3.486561768334495e-10,3.7916241910653936e-10,5425.
0.49999999999999994,1,3,4.9343721930426544e10,0.28294716333278347,0.00273441693804077,0.00042172563995805933,3.929745129866678e-10,3.345718863582974e-10,5450.
0.5499999999999999,1,3,4.9996560251304756e10,0.3438136648327781,0.0029141427129280016,0.0003687432231292055,4.4669771047548146e-10,2.92499024038603e-10,5475.
0.6,1,3,5.0643195181492645e10,0.4196790703670549,0.003080498805100357,0.0003187431426877864,5.131427756782878e-10,2.5278803338396696e-10,5500.
0.65,1,3,5.127680386509592e10,0.5165345796565555,0.003231594285136312,0.0002715367526179957,5.973779233886878e-10,2.152871323263546e-10,5525.
0.7000000000000001,1,3,5.188625191150134e10,0.6440242621860692,0.0033640388079093963,0.0002269417636958143,7.075610199960119e-10,1.7984833016475482e-10,5550.
0.7500000000000001,1,3,5.245220306008081e10,0.8187368035288756,0.003471604453588811,0.00018478309489644617,8.577237759120876e-10,1.46326973366206e-10,5575.
0.8000000000000002,1,3,5.293809919508244e10,1.071835744495298,0.0035421268194308986,0.00014489371694354012,1.0742254723568146e-9,1.1457979587169642e-10,5600.
0.8500000000000002,1,3,5.326590079863444e10,1.4695793467942186,0.0035491754544871423,0.00010711530291426285,1.4131088463674077e-9,8.445839169106462e-11,5625.
0.9000000000000002,1,3,5.323478079240253e10,2.1820909061582174,0.0034241428135349562,0.00007129863342543878,2.0182666254535556e-9,5.578592995989285e-11,5650.000000000001
0.9500000000000003,1,3,5.2125413025722046e10,3.81805582122525,0.0029204091077681942,0.000037303765531898674,3.4045312349281497e-9,2.8242398762184804e-11,5675.
0.05,1,4,3.3227137576661057e10,0.016432789056203063,0.00012346457683548804,0.0038634243473750877,1.1682925811438233e-10,8.585356793803485e-10,5415.
0.1,1,4,3.416569729950138e10,0.027780429307229702,0.00020168387821856073,0.0035043151820041635,1.293742917498523e-10,7.787316016666223e-10,5430.
0.15000000000000002,1,4,3.512465910910741e10,0.03970205346606129,0.000273200811548974,0.0031892128672791173,1.4247006479140734e-10,7.08706848304736e-10,5445.
0.2,1,4,3.610802849132164e10,0.05296397322416051,0.00034106926686273953,0.002899368852787242,1.5677992382203892e-10,6.44294963552278e-10,5460.
0.25,1,4,3.711813018377562e10,0.06809276905331889,0.00040629393344518764,0.0026286079250459754,1.7275837182161048e-10,5.841236144091925e-10,5475.
0.3,1,4,3.815657761768526e10,0.08562360061491164,0.0004693105222381118,0.0023741713990894247,1.908649973849184e-10,5.275797024018617e-10,5490.
0.35,1,4,3.922457487103872e10,0.10619133377472748,0.0005303397984840294,0.0021345197374567056,2.116428176722053e-10,4.743210435764217e-10,5505.
0.39999999999999997,1,4,4.032300548369838e10,0.1306044670791576,0.0005895015844033546,0.0019085998034792475,2.357813504942271e-10,4.241135273273451e-10,5520.
0.44999999999999996,1,4,4.145241417867125e10,0.1599371682066848,0.0006468521376252851,0.0016955615178350205,2.6419473845422124e-10,3.767681417697422e-10,5535.
