vf,c44,e15,q15,μ11,ϵ11,α11,ρ,c55e,e15e,q15e,ϵ11e,μ11e,α11e,ρe,c55f,e15f,q15f,ϵ11f,μ11f,α11f,ρf
0.8000000000000002,52938099195.08244,1.071835744495298,0.0035421268194308,0.0001448937169435,1.0742254723568146e-09,1.1457979587169642e-10,5600.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.8500000000000002,53265900798.63444,1.4695793467942186,0.0035491754544871,0.0001071153029142,1.4131088463674075e-09,8.445839169106461e-11,5625.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.9000000000000002,53234780792.40253,2.1820909061582174,0.0034241428135349,7.12986334254e-05,2.0182666254535556e-09,5.578592995989285e-11,5650.000000000001,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.9500000000000004,52125413025.722046,3.81805582122525,0.0029204091077681,3.73037655318e-05,3.4045312349281493e-09,2.8242398762184804e-11,5675.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,43000000000.0,0,1.5e-06,1.33e-10,0.00126,1e-09,5200
0.05,33227137576.661057,0.016432789056203,0.0001234645768354,0.003863424347375,1.1682925811438233e-10,8.585356793803485e-10,5415.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.1,34165697299.50138,0.0277804293072297,0.0002016838782185,0.0035043151820041,1.293742917498523e-10,7.787316016666223e-10,5430.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.15,35124659109.10741,0.0397020534660612,0.0002732008115489,0.0031892128672791,1.4247006479140734e-10,7.08706848304736e-10,5445.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.2,36108028491.32164,0.0529639732241605,0.0003410692668627,0.0028993688527872,1.5677992382203892e-10,6.442949635522781e-10,5460.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.25,37118130183.77562,0.0680927690533188,0.0004062939334451,0.0026286079250459,1.7275837182161048e-10,5.841236144091925e-10,5475.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.3,38156577617.68526,0.0856236006149116,0.0004693105222381,0.0023741713990894,1.9086499738491837e-10,5.275797024018617e-10,5490.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.35,39224574871.03872,0.1061913337747274,0.000530339798484,0.0021345197374567,2.1164281767220527e-10,4.743210435764216e-10,5505.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.3999999999999999,40323005483.69838,0.1306044670791576,0.0005895015844033,0.0019085998034792,2.357813504942271e-10,4.2411352732734507e-10,5520.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.4499999999999999,41452414178.67125,0.1599371682066848,0.0006468521376252,0.001695561517835,2.6419473845422124e-10,3.767681417697422e-10,5535.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.4999999999999999,42612899212.94781,0.195665543595371,0.0007023886058568,0.0014946419500615,2.981371704653447e-10,3.3211520296264917e-10,5550.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.5499999999999999,43803889443.68284,0.2398864291745167,0.0007560324942409,0.0013051187731854,3.393880442489156e-10,2.89993990365974e-10,5565.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.6,45023730829.75543,0.2956898228828803,0.0008075906048106,0.0011262938398748,3.905670505063922e-10,2.502490612634702e-10,5580.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.65,46268913787.4879,0.3678313095742915,0.0008566796871259,0.0009574897490453,4.5570297496848184e-10,2.12729423147409e-10,5595.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.7000000000000001,47532555871.09462,0.4640326466067261,0.0009025788324049,0.000798051563824,5.413337886573763e-10,1.7728879048802938e-10,5610.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.7500000000000001,48801180363.0258,0.5977232514299067,0.0009439178775789,0.0006473500563207,6.588254425328941e-10,1.4378604231254674e-10,5625.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.8000000000000002,50047089310.76218,0.7945083335362841,0.0009779423707368,0.0005047848594651,8.298426362312255e-10,1.1208530096734059e-10,5640.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.8500000000000002,51207295554.08862,1.1100064558893972,0.0009984867553061,0.0003697868806315,1.1014357829985571e-09,8.205475412456591e-11,5655.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.9000000000000002,52110023955.24202,1.6920344005734629,0.0009889084767774,0.0002418198024276,1.5986366524690276e-09,5.356101175173967e-11,5670.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.9500000000000004,52089090810.057846,3.1067849044596625,0.0008850242715105,0.0001203807133641,2.800337535085675e-09,2.643789758439199e-11,5685.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,32300000000.0,0,1.1e-06,1e-10,0.0045,1e-09,5400
0.05,397035179144.8113,0.0331743669521446,0.0008732399738139,0.0042923976381894,1.2837027143033027e-10,1.7169523977125295e-09,5035.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.1,367158688665.57166,0.0578595653405634,0.0010752368869509,0.0038933618291106,1.4209842034474566e-10,1.55733354913367e-09,5070.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.15,340471059940.17944,0.0823092170164417,0.0012327507757658,0.0035432214197368,1.5642567003632558e-10,1.4172729445157314e-09,5105.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
